FileName,Percentage
data_P1,44.5945945945946
data_P10,36.486486486486484
data_P11,58.108108108108105
data_P12,60.810810810810814
data_P13,52.702702702702695
data_P14,5.405405405405405
data_P15,54.054054054054056
data_P16,58.108108108108105
data_P17,55.4054054054054
data_P18,44.5945945945946
data_P19,54.054054054054056
data_P2,36.486486486486484
data_P20,47.2972972972973
data_P21,55.4054054054054
data_P22,37.83783783783784
data_P3,56.75675675675676
data_P4,58.108108108108105
data_P5,45.94594594594595
data_P6,35.13513513513514
data_P7,45.94594594594595
data_P8,66.21621621621621
data_P9,48.64864864864865
