"","participant","condition","amount_fixations","percent_below_150ms","percent_150ms_to_900ms","percent_above_900ms","avg_duration_short","median_duration_short","avg_duration_medium","median_duration_medium","avg_duration_long","median_duration_long","SA1","SA2","SA3","SA4","SA5","SA6","TLX1","TLX2","TLX3","TLX4","TLX5","ACC1","ACC2","ACC3","ACC4","ACC5","ACC6","ACC7","ACC8","ACC9","SA1_SA2_mean","SA3_SA4_mean","SA5_SA6_mean","Usefulness","Satisfying","Number.of.saccades","Peak.saccade.velocity","Mean.velocity","Median.velocity","Standard.deviation.of.velocity","Peak.amplitude","Saccades.per.minute","Number.of.blinks","Blinks.per.minute","Average.blink.length..ms.","Median.blink.length..ms."
"11",19,"P",3515,9.70128022759602,88.9331436699858,1.36557610241821,124.098003812323,120.867799999192,292.732744913619,242.625550000492,1960.53578958332,1178.32570000039,2,1,2,2,5,5,15,40,60,55,5,2,1,2,1,1,2,2,0,1,1.5,2,5,1.6,1,4786,48076.8986388617,818.011322596438,175.027286584092,2632.09113177298,1536.80142367324,478.624081013388,76,7.6003823980396,481.978693421029,148.983649999835
"12",2,"C",1643,15.4595252586732,82.3493609251369,2.1911138161899,124.61288740269,120.920399993658,287.754928676535,242.113399982452,4050.01721666919,2066.30404996872,2,2,2,4,4,4,55,55,55,65,45,2,1,1,1,1,1,1,1,-1,2,3,4,0.8,1,7475,40546.5025576606,992.884302073312,358.045700670223,2469.86116899759,2065.89527271151,747.534449128387,164,16.4007558069639,691.364765850873,179.827749997377
"13",20,"C",3251,17.2869886188865,82.4361734850815,0.27683789603199,124.569150533814,120.911899999657,246.85897126867,211.900150000118,1107.44263333327,996.167700000107,5,5,1,5,5,5,5,5,50,20,5,2,1,2,2,2,2,2,2,2,5,3,5,2,1.75,7859,91504.7544764635,1120.498572911,309.886846570437,2982.84688454352,1388.32084374543,785.937937617219,180,18.0008689109428,156.533658888869,148.092800000217
"14",21,"P",2339,11.5006412997007,86.8747327917914,1.62462590850791,123.29531933057,120.892599999905,266.909546456549,239.532099992037,1245.60510789485,1056.9938500002,3,1,2,2,3,3,25,55,90,85,5,2,2,2,2,2,2,2,2,2,2,2,3,2,2,5402,1204350.10810158,1031.28582032099,178.206559782136,9239.12586358657,1976.37647030439,540.226283269201,79,7.90038437213382,313.868358227837,147.698599994183
"15",22,"C",2418,14.5988420181969,83.8296112489661,1.57154673283706,124.62946572254,120.937600001693,287.78517671433,242.344099998445,4757.87940263082,1163.34650000185,5,5,3,5,3,5,15,15,50,50,5,2,0,1,1,1,1,-1,1,2,5,4,4,1,0.75,8249,43040.3633915002,1027.9601416597,352.23709835623,2747.3083777118,1557.63396815178,824.94141247137,94,9.40047190838996,470.622663830506,150.902900002897
"16",3,"P",2243,9.09496210432457,90.1025412394115,0.802496656263932,125.838349515025,120.834799975157,283.291357100158,241.937300026388,1903.64401666322,1193.0719499886,3,4,2,4,4,4,65,30,65,75,25,1,1,1,0,1,1,1,1,0,3.5,3,4,0.8,0.75,4900,100168.838189751,931.84561064332,170.479668462279,3068.38590860853,1634.73292400069,490.020750418686,85,8.5003599562425,236.303403527596,119.499700009823
"17",4,"C",2453,23.6852833265389,75.5809213208316,0.733795352629433,123.474858174122,120.848699986993,244.969240237594,211.395199984283,1899.57482222053,1328.96360000968,3,5,2,4,5,4,10,25,75,50,5,1,2,2,2,1,2,2,1,0,4,3,4.5,1.2,1.75,9773,46697.7668993105,1125.38802655974,429.061118131876,2586.29360652424,1735.55880418239,993.355366872915,85,8.63964045678888,213.71157765108,150.704400002956
"18",5,"P",2152,9.43308550185874,89.3587360594796,1.20817843866171,126.752544335837,120.933499991894,292.556890327579,243.069500029087,1675.02941538507,1101.91399997473,3,5,4,5,5,5,15,5,40,30,15,2,2,1,1,2,2,2,2,0,4,4.5,5,1.4,1.75,5115,44677.972484169,818.856254584156,188.609295071988,2710.06108290109,1909.18732852723,511.523481059094,109,10.9005003783854,150.608400919022,147.702099978924
"19",6,"C",2226,15.1841868823001,84.0970350404313,0.718778077268643,124.827948816603,120.958000004292,256.353534616594,213.594449996956,1400.33669374883,1132.28455001119,5,5,1,5,3,5,30,50,70,50,5,2,0,1,0,2,0,1,1,0,5,3,4,1.2,0.25,8021,43345.1018273354,983.490940218137,321.821590528153,2563.4990799662,2150.8137009929,802.261655188718,98,9.80197509144675,304.009295916679,152.363000005484
"20",7,"P",1929,8.34629341627786,89.9429756350441,1.71073094867807,123.140634782196,120.891299962997,315.062827953481,272.029500007629,1271.15517878713,1117.99349999428,2,3,4,2,4,4,30,70,40,75,55,1,1,2,2,2,1,2,2,0,2.5,3,4,1.4,1.5,4493,61854.1737342634,720.269622031951,158.96262673798,2401.99691738183,2623.04373013773,449.300006365068,114,11.4000001614996,159.329127189883,148.976150006056
"21",8,"C",2371,8.94137494727963,89.6668072543231,1.3918177983973,122.544013209501,120.838750004768,297.052400188214,271.553849995136,2261.93216060689,1114.0232000351,3,5,2,5,4,5,40,40,90,55,5,2,2,2,1,1,2,2,2,0,4,3.5,4.5,1.4,1.75,5352,213098.620485521,1007.24572104434,193.860368559796,3617.63207435054,1769.75496510958,535.226128847575,115,11.500561438242,218.148053913013,178.782800018787
"22",9,"P",2343,7.42637644046095,90.6530089628681,1.92061459667093,124.227338505204,120.853899985552,300.056747693267,271.567399978638,2626.83029777077,1359.37749999762,2,4,4,5,4,5,35,65,40,60,75,2,2,1,1,2,-1,2,1,-1,3,4.5,4.5,1.2,0.75,5106,274077.457298015,1015.12343763065,197.308302378194,4063.39714303601,1793.68880386308,510.624280014305,16,1.60007608308439,172.52965625003,120.634899973869
