Time (s),Total Distance (per second),Average Speed (units/s)
1,1334.3564431792506,1308.6608852692452
2,1018.3688968272495,1016.0137532729268
3,569.1336170295685,568.4737463248924
4,1603.619493477707,1230.0445926806833
5,1247.9253695184086,1252.7934222573983
6,1050.7690482054059,1056.8314649013676
7,1287.3551044537087,1363.1089136547685
8,1642.8632068937864,1626.4484730268698
9,965.1878698580543,961.5622329804795
10,1414.953723233576,1371.9101117880225
11,1876.0101646487128,1589.0122076656012
12,456.92365309899816,519.7420589946557
13,1668.1501664042116,1670.9980605130352
14,1088.079665585265,1098.4714672891967
15,1579.3569724221222,1578.1187815352935
16,1010.3519229656308,992.0975566064151
17,1086.4349463608723,1108.4584615775684
18,2879.252214634575,2985.811921600757
19,763.9158438638585,763.6486215362753
20,967.1856286734394,941.5267531071128
21,386.9685916790109,388.20667622169003
22,2015.4661960527847,2025.8542486464346
23,525.5715155353904,527.6814883499432
24,591.5772691407668,592.4588068344241
25,2154.050349240273,13230.322086309483
26,1054.8155052244304,1573.5074207871157
27,1431.1613070553558,1718.5994462103738
28,2592.126417123426,2640.737377243602
29,1294.312244988822,1302.2924951355897
30,1527.8457002352,1483.8679595128358
31,938.1074623969832,938.1505715316808
32,1936.3570103965435,1965.650221374819
33,1231.3167494877102,1226.933979463683
34,967.7668069980944,971.269658671153
35,755.9177653196246,757.763135510676
36,1401.3883040880053,1353.2056997970808
37,1942.4190386284504,1942.9867489850137
38,694.2258231466661,696.4986223442174
39,328.8928266718937,319.28657025382654
40,1341.793213138283,1337.5255078627656
41,1459.9575452825309,1453.7084591675034
42,275.9910833415532,276.7578365378611
43,448.60704401502943,448.9768701371523
44,457.2164847565936,460.4215596682374
45,331.6227665047375,332.19594623195763
46,455.056941161138,454.8124501991528
47,1632.850364449514,1624.5734024754202
48,1400.3249010022844,1404.663736105575
49,1414.0112563039206,1390.6496098641921
50,2238.8684492859493,2232.049100823825
51,2555.1856920103246,2561.610871699249
52,2252.174954879366,2116.2130459298724
53,1151.2786817377412,1147.4177800445523
54,462.2835678883705,463.6127195095067
55,440.5580571720613,441.9070777207459
56,1841.9833127801191,1832.225404544441
57,542.7060371350781,543.9694026694399
58,1383.8570802946942,1405.097489405195
59,1275.9897318014976,1236.2875681010712
60,1854.983283731249,1882.4006690910455
61,461.736784645008,464.3650014271133
62,639.9886020474067,644.0442227677631
63,572.4476976048726,574.2034091636726
64,264.69415132362667,266.0874211785313
65,357.2118521508439,359.90755251116923
66,600.526094324503,525.2169911133319
67,1023.4025227290502,785.3034647157601
68,348.8055964123992,339.2955255578004
69,1896.676389408384,1868.4824624150351
70,1836.367308930793,1850.305286521633
71,488.1301718672797,490.26314022687365
72,1799.1072700934326,1816.9946813770894
73,356.36586048282027,357.6835552393042
74,270.79517444928024,271.55701432511677
75,173.94814512681938,174.56260822751918
76,1427.3466673624935,1427.894345560347
77,523.6760566074147,525.2172102062177
78,702.3428479255135,684.1193707223514
79,500.2917998207263,500.8053438071127
80,747.009071981166,751.3479210422612
81,702.8051860997284,702.4206334350092
82,1471.6445129043527,1480.225351497745
83,1218.1106075518571,1224.030075871562
84,1778.5540723514277,1778.2855589328192
85,935.0064602834473,938.8005659440302
86,1281.7169943988417,1284.9285387787759
87,1119.9904579063805,1121.3623520880526
88,397.0015582474332,386.21088067434533
89,1442.1558216788887,1449.5098912240767
90,1657.952015754391,1660.0451794546316
91,732.923124423684,735.7724042177783
92,315.0615752736577,316.7169092120639
93,1303.3039814894303,1310.4145938446652
94,427.2474319323399,429.22360225195507
95,1237.0936303063258,1234.7010849863996
96,576.8012133117634,575.1244689235647
97,410.5555730211243,412.1492644205098
98,1147.6488633503056,1120.041456781721
99,472.83048232720023,472.797840896375
100,819.5005580407617,809.9777360002878
101,1299.4568788924157,1298.5899841497085
102,606.7566884376664,609.7398095755849
103,625.4485119998016,627.044280808235
104,840.439458231193,842.2584015110904
105,937.2855523824736,938.5757148939952
106,1149.4928098521862,1163.2749376252414
107,900.9991914772376,875.5083405286911
108,1197.3221700368936,1194.8418563888952
109,282.24307235606426,283.3314550198403
110,1488.5120205222613,1485.5297388740414
111,1005.8524143380296,1008.1473497502682
112,2105.6378972932484,2115.593736300249
113,268.29184464371764,269.28177160968767
114,1193.1535393196104,1210.3294101614388
115,720.1386214239749,721.3249037419715
116,1256.4083955324465,1266.3148790571076
117,139.82698141664048,136.1263051392754
118,1253.2006786078746,1231.6547828953376
119,274.0085578275184,274.85502750976104
120,413.61707068654056,417.2186626653064
121,442.26249359278285,445.7820795651795
122,538.2514294012431,540.5374103959168
123,2038.1586823224786,2048.325360039912
124,901.8093550404726,898.9528170824472
125,2334.4569681073776,1377.0319858253151
126,3069.851372130982,2997.2845436884563
127,872.0596144604156,875.687910521643
128,385.27076905148255,387.12264414296493
129,1445.580068184534,1418.2594434700652
130,2208.8186056723625,2141.1993963426785
131,944.2779505840109,948.2689528190097
