Time (s),Total Distance (per second),Average Speed (units/s)
1,642.5624658246393,625.54222242169
2,284.7885513952398,286.0879444176326
3,715.3603146846829,686.7055335879452
4,970.1837431946914,965.2924785480043
5,583.5437887951123,3241.755004328897
6,712.4557009440106,1648.850245964006
7,1163.254413499096,28329.05352041943
8,627.6333234079259,1266.1305820752057
9,1727.032252594185,1638.807620522508
10,1631.0801536574509,1667.7893315829833
11,1456.1129388544807,1464.6853166353005
12,506.9587634737679,509.0750577069651
13,1123.122259282309,1011.9155657388161
14,431.0263760439128,432.9158554431553
15,572.8180933964733,517.8389378656699
16,956.218949408486,947.5409406366977
17,917.9250561833941,625.4736871371388
18,634.9842353079623,684.8777176511234
19,1188.8400313466427,1207.407663235707
20,2204.5988801140993,1937.7152733260418
21,1382.9025849588245,1386.4921789772834
22,369.9010950616101,370.06678200681586
23,2240.716458805588,2238.565431623048
24,1439.9460048962474,1440.2478894375822
25,1610.6273837726594,1612.7646750569138
26,1261.4235830896714,1264.0103307748286
27,738.2734047127207,742.7633425875764
28,1432.1660975423445,1439.4384581753357
29,1754.27921986774,1777.2168869017842
30,1168.6116653486006,1136.0658260706377
31,685.0709508583818,594.264360900466
32,707.8466155938169,710.1814619101893
33,1609.6802428710225,1600.1148176605357
34,862.9195746884315,865.3685701778538
35,315.7086865972829,316.8609619260398
36,251.43514501553443,258.8995489957614
37,101.80058312923838,110.95590552559776
38,3282.68208293239,2881.2752474181534
39,666.1487312586405,648.3375839852057
40,1422.4644327172575,1423.4963471513947
41,1264.353572926808,1272.0420675920316
42,485.54451749696597,487.86972947184864
43,1093.7370506020409,1095.2585778122043
44,1217.5229973165851,1199.0922370000337
45,419.5852863250529,419.4674346803843
46,366.2855639603298,368.25973451455087
47,383.26914393892844,383.04691360221534
48,1307.610802310893,1321.3025015886449
49,573.3920114539892,557.492442512044
50,267.09918857979056,267.97163601512
51,793.5448913714308,794.781811599666
52,1190.6864307986125,1195.832204879559
53,2657.39563184008,2461.5291034694287
54,289.9383886314214,290.45182951964176
55,1192.767089520026,1188.2497539057515
56,741.3001713459275,744.8017831881658
57,1600.056935620705,1589.8917133306707
58,3210.709777892855,2440.5213740136255
59,1335.785324258335,1376.7743769541087
60,2162.66328022318,2295.156417116621
61,627.1886033631462,630.3026848945684
62,1383.3443426726426,1385.838959247068
63,1563.5858936934353,1569.0255554654054
