Time (s),Total Distance (per second),Average Speed (units/s)
1,1350.4810255085638,1305.9828780935559
2,1693.422515237688,1144.430091713472
3,1325.159444255647,1262.8441808101472
4,465.2856925000136,2339.811425389094
5,600.3885920193923,718.9070622013679
6,1938.7748091087876,1923.213463767568
7,1465.015822569142,1298.1836960227727
8,1030.8636037363697,1082.1718840622086
9,1557.0037212397406,1574.5758327876854
10,2852.3764650161324,3396.8495523183233
11,1158.313685640631,784.3126142417487
12,2874.2423626604113,2896.2490768707544
13,1067.5693772977602,1071.734948500059
14,168.82506754454383,169.3899586024359
20,521.5879025475705,84.23303398543337
21,1857.21139905622,2392.098394987601
22,657.5037607633506,653.9786486357477
23,733.2793398793485,738.9097379530173
24,865.8947738688065,826.6394801135124
25,1506.4539229718123,1506.7355465114251
26,767.3383124252504,774.1848394435262
27,579.0531431107748,520.4859775614474
28,498.93211810097,500.0949324899275
29,686.6305475873579,691.0279167538298
30,1010.3672773697525,967.0105235309258
31,1212.9094515671513,1215.8422966278922
32,331.1704265059141,229.7412924210666
33,895.5096931240142,842.0367369175741
34,205.7319902679161,206.24494257421634
35,1053.025779602106,1056.3719225972166
36,627.8753486451917,629.0069448650432
37,1260.3822034481775,1271.38975209758
38,1729.5267552793962,1684.7181304204798
39,610.9738599686921,593.1615622465492
40,997.415223365615,997.8553168330722
41,1296.6059993705835,1303.9823620895943
42,296.80337767703804,296.372491630336
43,452.7228339951843,456.12791450290655
44,907.4956506182973,874.7448075445564
45,250.41616910900896,250.78516755019143
46,350.942517111296,351.55147336622457
47,771.4792129771978,768.2089752784032
48,766.6041122259453,769.4352323025689
49,1801.4607457571371,1736.299792320345
50,806.8708052369016,652.381915789706
51,546.392999777388,549.1913070843292
52,1391.3628775087072,1388.7018873143716
53,1443.9659154463347,1440.5307968538361
54,721.0896832741237,726.7111925117009
55,615.7630898582021,613.8982215319913
56,1398.3786093918902,1382.402505996109
57,2120.1560590926615,1686.8042549620432
58,507.3771787530081,510.40138775594426
59,426.63608845720705,416.79399119793607
60,1585.0574067055823,1562.1024046905673
61,1898.5432999961388,1053.0202614147631
62,1495.2469203882097,1501.5035965619993
63,778.1367410224291,773.685339515236
64,1315.5083145077137,1319.3280440437122
65,1737.0919863678687,1759.7971226353889
66,811.5410912332177,818.4201832645346
67,1925.802888579298,1775.9942759276232
68,1353.55283632273,1292.7778511188399
69,2424.900896095456,2417.7022405938947
70,631.5988059658581,634.258191139182
71,2380.648692607922,2410.8529645481754
72,683.3113917410859,688.1228520725577
73,1067.7423268943967,1161.0502210641357
74,244.65845935813036,245.63221317483516
75,1436.0816174593947,1453.5701748160718
76,647.4113242895016,652.5301898257349
77,780.3514425022321,700.7882376337691
78,1640.7908807103145,1190.1744338476421
79,1198.9392857065723,1227.7776287807592
80,1698.9569618198839,1681.6872491185552
81,404.12340286993106,405.87276138487834
82,635.2018428820903,564.0898050274443
83,1574.570085258771,1585.0681641429146
84,340.4692404611983,342.16068931052183
85,1324.6375738504128,1085.6011492673654
86,839.9999750237673,924.7043076957583
87,884.0787312143216,880.0672339803696
88,2231.7862126841205,2170.8594902160135
89,2909.795945090409,2926.0714818364304
90,944.690356117379,931.6180079434463
91,1186.134017420517,1188.6040264768071
92,525.0705920757241,527.3048261357263
93,824.6943144549634,829.7085571988592
94,657.9057579421432,660.9869274108726
95,496.6380115729867,499.4287108391251
96,939.0417318046623,942.9778000585987
97,705.901650431816,684.6748100156701
98,713.9772942107535,716.5104448381145
99,390.66555826310287,444.20475544622786
100,368.17566844164537,464.42389047783786
101,836.1053888596949,839.7142046556642
102,382.2093799312544,382.36778398123187
103,1341.8831803975147,1345.1936717038116
104,747.7727857841669,1226.1645941427691
105,334.86448500569713,790.9450768176969
106,1042.1644056443465,1031.4205117334534
107,868.8473131446237,848.7177313254497
108,1007.4092562820707,990.3285777360003
109,615.0473005867013,617.6874838026482
110,578.3142866033439,578.9772665837559
111,491.4657492709436,493.83634580076574
112,1738.138212995214,1430.341612898046
113,589.2784550693243,590.6233683029332
114,658.5715299515647,660.2475336020215
115,493.1313984867636,494.88050372627254
116,1028.976183901359,1034.5793195613833
117,1576.2760169716298,1552.4513695890516
118,346.3361488372254,348.43418660186745
119,808.650419294004,643.908048012676
120,275.7421097110514,276.4992072353699
