Time (s),Total Distance (per second),Average Speed (units/s)
1,1267.6671310913557,1258.1084569637817
2,1626.5085978023158,1594.8532357122428
3,1905.519253880181,1876.7151013424366
4,394.13616493836344,398.4693295706694
5,1596.8338965923572,1709.3813843659145
6,1284.4078737801367,1217.464446410024
7,1445.6511695421066,1499.6007218800614
8,1566.404677377709,1460.9534690150012
9,1054.5969272938949,1051.6503867545434
10,549.8482045746384,535.2308546313253
11,584.030884194708,580.0624109454498
12,1008.8984626884677,1011.2013063945776
13,1041.2742803186263,1098.114693035585
14,1306.3138451418865,1296.7274779045667
15,1832.9480575329076,1772.8876922002219
16,229.78564059432762,232.64180517113704
17,1170.1680649865616,1373.1211587745913
18,298.0169710547979,301.24686330448884
19,1180.161791325356,1165.5848447781366
20,1862.2552438205835,1882.4983149984057
21,1545.4681735369109,1552.3737212830836
22,1037.0177078340048,1035.3513708701576
23,986.1216413865583,988.0515813427878
24,971.5940169988228,993.477164759905
25,1283.4803329184624,1297.3463797236134
26,504.07090047721226,434.3436074756981
27,1271.9552043101896,1283.4122022728666
28,2087.11082731924,2128.7766461319525
29,1914.8283510882702,4249.474659435018
30,1081.1237632621885,1399.06368757913
31,669.3070310734793,522.08930574481
32,476.1274384722505,481.691245434096
33,2143.567797640794,1590.9028517278473
34,232.3283048465031,237.21339528849262
35,158.70019602983334,158.70847751491985
36,1941.1016191662613,1972.2005757424142
37,1832.5236141713965,1850.0726980970762
38,1059.1627369614412,1158.7163432372438
39,2829.8707219567254,1460.4781083504063
40,1674.9575432393706,1183.6794928340196
41,1233.2413538450478,1147.8771877200816
42,627.1585963614311,643.6685173460867
43,175.3424989789919,176.25947406840365
44,493.1300566971171,493.09123678325517
45,968.1561150871206,785.305242822716
46,1668.8932889075209,1691.6323486302322
47,1707.6486522010373,1734.356331149565
48,415.35510649945246,437.6371045910383
49,370.74963969852934,348.25170215979
50,2695.3835199492714,2682.682213983691
51,1449.6254396461056,1474.1808239149664
52,722.9773565986936,855.6430002922831
53,397.5420729056359,397.45066527803175
54,163.14010416355217,164.1745029704727
55,607.5568106600274,630.9470163215186
