Time (s),Total Distance (per second),Average Speed (units/s)
1,334.5111360550583,323.88064992408556
2,1415.3001603330415,1409.7380326259117
3,918.1037880035295,914.7516690550584
4,1487.1470664833805,1481.4204758174894
5,290.75291769178085,291.7440115596878
6,1062.213544203837,1082.0918058094485
7,296.00879267609014,296.3317844043874
8,515.4954261392944,518.4176025427045
9,1046.222064353916,1054.8981938964932
10,1976.7137603756914,1953.3996892087616
11,302.86826596525816,414.5429399830774
12,2296.1638416313467,2005.9712685107927
13,1196.1826155242197,1314.0161445627289
14,1477.7280526461682,1472.5313712141656
15,1491.796882811404,1478.6497943424504
16,1262.1458580063759,1276.3084883288195
17,1281.4769093183597,985.0417513876207
18,579.5438911243191,575.5711854139788
19,1524.3335525434204,1528.3432308839544
20,559.5336439105113,542.3940308125341
21,2587.5119333041057,2578.094956342515
22,1017.0467685975094,1105.165854270322
23,516.0077234388933,520.7793026344525
24,1019.1528499475954,1026.5182194120214
25,987.0441994291671,948.5004432011131
26,459.62854507428017,459.2337837081038
27,210.7630401892172,211.28300821155014
28,553.0026938485646,554.9404425733876
29,400.8948913979462,391.3241099529878
30,1515.7155613282387,1534.918599559037
31,858.7283898590531,864.1598525059504
32,1804.3874639367702,1809.3614022283425
33,1378.487894001794,1360.4448768704399
34,498.8854093008612,501.0332165311823
35,1208.5014325682548,1247.512192612138
36,1123.7429622990535,1116.077144988799
37,1485.7632231715975,1468.0331671758577
38,1187.2109320194106,718.965069241598
39,1207.2090562719561,1173.2871879516736
40,866.8399643808983,873.8249517858476
41,1390.2217740903113,1397.9855896520532
42,2982.854842500953,2415.440814597476
43,1284.638348358806,1267.3617777699963
44,1460.3166814774834,1460.9266195240366
45,355.0293397485606,356.10054717378574
46,1004.2410999046587,1009.9087144918977
47,1457.301854016753,1475.9019814524336
48,2361.551072606005,2233.0397501329962
49,1424.5605307377082,1431.8594914766861
50,743.8176943886573,747.3698634285307
51,821.6575182657194,823.0239241804366
52,543.0062391595798,544.8202545880832
53,571.5497725433743,573.6477804593745
54,403.7264590840334,404.79665042725384
55,1226.1490817813512,1233.997623533245
56,1619.4091552044197,947.4987102363665
57,666.3157196588886,663.7059178071185
58,618.7026886554552,601.582303422191
59,418.34534057097864,419.1624391837219
60,1948.085222813974,1930.8825527257275
61,1328.9960788933402,1334.2528710850588
62,722.8860906405597,721.6503551234442
63,1264.9606712547316,1254.7808304150494
64,1397.6238087490892,811.8860012911774
65,679.4832956819275,669.8553925045587
66,1212.7188078749923,1221.2832552983302
67,1060.1233950580736,1057.86363024827
68,408.11544217823786,396.5289336756982
69,429.9808997437847,433.5212744591485
70,1266.2912438972976,1304.4347329691566
71,448.8631997546622,449.3002690171414
72,516.6701560224191,515.7909453131166
73,1254.720336472181,1245.4913794094998
74,1118.604146173134,1096.8648928745313
75,645.3683090355465,649.8705151435198
76,1342.1820411824212,1362.837835741571
77,1388.1455952967785,1358.4817129579028
78,338.74050896504554,339.985803160842
79,734.2516486608027,735.9109257525724
80,765.6558651346986,766.3802691937256
