Time (s),Total Distance (per second),Average Speed (units/s)
1,1698.6939160569875,1216.1153341979884
2,2297.0183375087577,2473.362757978003
3,721.5525971676743,733.0451261236577
4,629.8430271238602,633.0194025031769
5,1555.8412880442525,1561.9458270763068
6,576.646892849266,628.0851854174533
7,2115.635380245356,23552.557242493982
9,830.4535199561723,25632.686397218353
10,1413.8223221487774,1960.8030389608168
11,361.05331315305364,351.18391220041696
12,1228.7682409740348,1216.7862721861634
13,879.1857227162754,888.8741652643772
14,1633.4591534489468,969.5958938408099
15,1109.7164271017848,1362.5795870725822
16,485.1459738391477,483.7921849413572
17,576.3514784206891,585.6295739370314
18,1390.2763673426634,1386.5432623775725
19,873.8074144065574,450.12580866573575
20,303.4940897351072,736.1869015325693
21,510.29292941258865,637.069006762198
22,922.2523653223624,1052.937212910572
23,517.1798674409615,518.9344042738767
24,1378.0159062098578,1416.6130339161157
25,1174.2799641643119,1178.2012800552661
26,442.2434030088314,443.3234429780216
27,599.7225598997634,596.2896315752532
28,1335.50815819944,1354.2233940150463
29,476.38128057732956,478.1288041390887
30,1144.1742337457451,1095.3659375724599
31,949.4514043077517,944.457880620562
32,731.6019374521253,785.8710673122594
33,870.9065045142781,1153.2981089741618
34,1886.2417521465613,1778.9773516101297
35,1737.624711448891,1212.0228843136122
36,4250.119678287625,2163.771025571749
37,1592.2031322478556,1638.1948831389375
38,748.1974144033239,694.827407596858
39,1810.452135520037,1778.470125674937
40,975.9731967380376,1534.9345867586685
41,1203.177777695751,1216.8459642772268
42,1410.3959581478923,1410.508617261209
43,582.7136063387103,561.9068288100506
44,1300.3007182226563,906.2697928272496
45,1018.8247727175013,2244.262078302258
46,590.7281164181636,896.9802983787189
48,1582.1221719800585,1966.579285609146
49,86.82158651247067,443.0063246870225
50,147.36608508489795,634.0690202343354
51,479.2858635401936,478.9392661269207
52,428.22225289975563,426.73313230627497
53,1304.828103332044,989.5709793928918
54,863.3993927567096,814.4436218508313
55,599.3046366096022,520.9044664129715
56,387.11318197917615,353.75215427392556
57,978.8583414887886,1193.769036380101
58,955.7342652415027,941.8691095558439
60,1914.9039336132678,1813.052508435953
61,308.696875389296,316.73488242358127
62,276.21460710732094,275.82598253512595
63,523.9292442109058,557.3941972510787
64,581.8219461112475,617.6472101695558
65,184.70781317819765,185.29078247377447
66,328.5984872882467,326.37379948202914
67,743.1206393387005,722.2317953354477
68,942.7286072276927,937.8013996814104
69,218.6177250919735,212.5182968840317
70,422.9544958604282,418.3987684970577
71,535.1665069086469,539.1882824850893
72,1837.0139410497818,1464.8784994427747
73,2208.2343729364366,2739.5296113833783
74,989.7791815870748,992.2043479971878
75,715.9617514032846,720.0918163417027
76,1154.1740839385175,1175.3500458088256
77,890.5971493888075,889.5262769722231
78,421.28723104482697,418.9191883914879
79,637.4147316075861,614.1959248212759
80,1771.5508887483309,1804.8949105687498
81,915.5066770104618,940.5894453365136
82,1101.3589261559732,335.10708149763286
83,107.08477326169374,697.3959568064176
84,1224.2425174708883,779.9371248104757
85,718.3331373668374,709.7638895708373
86,1350.4088296802568,1418.2985096952068
87,887.0484804538654,899.4632900611051
88,188.00154331266685,189.01989160285655
89,199.03761314108849,193.20974644768637
90,141.1750915319019,140.37205786098343
91,424.94213065253604,421.16276817756534
92,626.2322950499511,646.4773170092972
93,589.3169492355402,589.2373404887799
94,1075.463270623256,1081.9599688599988
95,985.3499205961363,1043.7363950269428
97,1403.6206767393244,1282.3541372287705
98,333.69622769969715,1311.6664799893908
99,474.6614831692366,370.6465360096583
100,145.09084823182084,147.6087501977458
101,1517.3837044891889,1517.1858774237232
102,2261.3005374044383,2258.241666346591
