Time (s),Total Distance (per second),Average Speed (units/s)
1,1838.4063865100513,1779.7933201868661
2,1769.1573535253406,2302.6600244900387
3,585.455857989207,856.4045188119082
4,979.5735774172726,1403.487212569238
5,983.2687191337595,840.9299429974202
6,502.66527442391197,526.0788549328627
7,2136.3061784640718,2142.2097068319895
8,1477.56522448476,1479.863645674467
9,2135.5086615331797,2197.830861669879
10,1423.1116715656844,1410.3024086908129
11,2160.832321840204,2155.268617244292
12,842.5322872459236,846.0904837221384
13,1783.1585115850933,1759.6515863926068
14,487.512017012885,491.32506877918127
15,667.8024094308578,674.3188320042144
16,2703.055908837715,2699.8777579239118
17,1587.774778861606,1590.6959561398626
18,1251.732311314598,1264.0066943638967
19,933.1248407404936,933.7640635898624
20,278.9392990471103,293.1598235089611
21,406.8050222739208,404.70127158618544
22,1428.8151309466643,1442.651539949561
23,2528.8341798543743,2497.3388768601576
24,446.87112001935833,448.0556090594803
25,534.4698895078093,535.4955374017778
26,682.3775406368387,728.0004004811572
27,1211.1808296632134,1216.2656739217402
28,1367.8809872613297,1290.115220613734
29,2790.985934988677,2713.341239283224
30,1473.9559896052342,1453.0274849993566
31,1406.8784938822694,1431.0742136436309
32,1838.354295120528,1861.7468664893327
33,577.8138454341034,580.9958903090065
34,552.1895867530627,552.0508646572227
35,827.6074121468362,826.9930929308799
36,284.288000172038,286.1283208206605
37,1534.1650568825357,1554.3637607367145
38,1800.4492616464786,1805.3343050792619
39,654.5004363621308,631.06973156406
40,1143.1252586608562,1148.2499888469674
41,851.1585271311961,844.7076205533493
42,426.9669575604644,427.96621250089083
43,973.3122831854273,967.6366727420584
44,639.3742952854317,643.7292068793543
45,315.4980980160164,316.0559073027695
46,512.5896712958171,513.8451134257251
47,426.72809151409865,429.0962162895538
48,975.9577051826209,961.153673439132
49,453.7305797337067,442.23072087855957
50,335.6931391538907,337.550481775094
51,844.0223648517822,842.4981166504964
52,676.2002382489927,677.3330887610533
53,882.3414081821261,881.8397503223686
54,597.5497574023918,600.1028472017806
55,1414.8235467837771,1413.021201998429
56,416.4103733642763,417.4628573020007
57,1020.7282473367908,1018.630205270089
58,784.7920929542026,786.3100799866814
59,1100.9974026072396,1093.2437907441165
60,1516.4394878072114,1527.537274796176
61,612.3592466472908,614.1850698330109
62,1131.9478639929516,1125.0177300832331
63,374.08535251219047,376.2066976909848
64,802.1599181596952,805.7703731839674
65,584.6828722887632,586.2084375217656
66,1104.8481679514591,1099.3770040763795
67,1536.736667549722,1242.3255330986437
68,350.4179468304387,340.112115895725
69,554.7172033537056,554.1068000676225
70,606.3450951218134,607.7589798085075
71,1048.165959946146,1055.085835310708
72,1608.2015635592895,1622.4447041670148
73,1243.2957461676701,1243.406918467088
74,912.5123238656759,893.7877010355269
75,1163.6121982170735,1172.1668350697664
76,586.9200093066444,586.1468968214047
77,587.2790825404692,590.3763297548161
78,1128.1837668618032,1097.1532257495464
79,586.3127933749037,588.1931089892089
80,1378.6130274729203,1372.874586873409
81,530.1408717054361,536.3566367586898
82,492.8379434292826,493.61075165156416
83,1995.0776586694844,1997.570254051527
84,400.6584563333176,401.7318602201368
85,590.0836287187656,589.6387685431125
86,1055.2792572817025,1049.9253346149167
87,1300.1483986088926,1283.6411356599804
88,1396.3590450496642,1397.2834318007283
89,429.4246272925475,431.12918345089076
90,2230.7600245285876,2250.354616249293
91,742.3624380150738,746.4201523512347
92,1468.352704801269,1483.8176136795028
93,545.3811759845432,547.4793037033807
94,1129.322514203949,1142.4524033516113
95,868.8128336480748,881.2743279441481
96,558.7331479461468,562.0336309814953
97,782.8822619903825,765.1552596542715
98,1354.6858870548756,1395.9470816750872
99,560.4577649453717,559.1530054225852
100,1055.577621667878,1064.6514143473255
101,1602.935105463154,1639.5008996351523
102,482.23969510829585,487.1271524528766
103,558.5487387937284,560.5587171386525
104,1619.8725733106191,1638.2853969983892
105,1415.6084360470854,1439.6227396385686
106,2643.0055492771307,2630.309844895703
107,656.6935857405336,640.9638308501458
108,2175.0479883829717,2213.237012041808
109,830.8236917821428,829.6520124718174
110,1842.7008142667019,1837.7099887481638
111,2608.4221472831573,2640.42805575608
112,706.0553505529076,702.2435069161602
113,884.3330231970248,888.5311599303485
114,1809.0779130787544,1824.0753362711598
115,649.9236598184682,653.0902244896797
116,416.760434521149,417.34594911579865
117,1921.4058750299666,1843.8261839439942
118,810.0972521408637,723.6539369116998
119,474.38711634616647,476.2500247366654
120,1849.7248486788178,1860.5742489629176
121,806.5803999080456,794.3963380115455
122,1092.6830068845002,1099.6911299554545
123,784.455528795974,788.834076268143
124,1177.4026530133115,1242.7507510574226
125,1033.4550702016384,1047.1843076951209
126,2315.5804985857444,2279.514695379524
127,613.0891005692586,620.1685692466168
128,296.7758151219942,297.6720598683093
129,1474.9592959450836,1482.7769312133862
130,933.4280860779588,951.5623764312188
131,1292.6820233216627,1133.6723089797151
132,1487.838743710281,1235.1770546294852
133,1781.9942362565273,1807.7822452125731
134,1425.5910191466483,1120.357948673026
135,523.8568494014091,526.353180949594
136,700.8682993674912,684.9295346503734
137,1236.660391123994,1234.8021519382908
138,1008.8766901779284,1011.3864606818285
139,1452.6468368837714,1438.5927050598823
140,772.1302512531718,777.3343901616
141,683.599357769631,690.6021160903852
142,921.8316304421559,936.9040728477513
143,686.7895172096189,693.8450582643977
144,1821.9771229841058,1523.11898619443
145,1809.1478396237349,1786.6250223865445
146,736.1918293935311,740.4909264214493
147,774.7266531916666,787.4103211543734
148,1448.5798800189107,1477.751485986517
149,677.1832449381195,657.5074861769119
150,901.4854842969644,894.1279317161586
151,2531.133290346266,2469.7382125583545
152,1113.7914542699584,1130.4537590932036
153,1006.2183552648032,1002.3762702486605
154,993.6400084081691,988.6416106560602
155,474.2811506337295,459.61555973104805
156,1366.2249234676715,1378.4713821158455
157,523.2412251295357,527.4102035878556
158,556.4475262377554,559.315862135022
159,870.2480612741798,877.3826448470678
160,779.7684985789723,719.8059826041447
161,2535.5456300329256,2396.415278142449
162,2351.7762964050794,1833.390103031516
163,2305.601160361277,2231.9314899770125
164,1316.1349099810695,1319.426498660813
165,1318.5578650580642,1323.8228239707248
166,2230.26784598084,2218.158325089608
167,624.4782850100244,624.1822659324232
168,939.2233479976392,938.21324411042
169,1222.0656972959216,1225.7574591606083
170,1207.6909557640333,1209.9523127766536
171,941.9253796971265,950.5821217506641
172,1511.4410133416561,1532.2576994367435
173,2289.9915563134086,1402.8422331020697
174,1324.0933233646508,1452.1485421148284
175,1765.2980020027635,1713.0696000064086
176,1398.2235306182845,1402.079597666102
177,1077.6146214256798,1077.740627285229
178,1383.6251461092165,1441.5588366572345
179,2469.526269426007,2828.3830656000987
180,2312.8326266455665,2323.0826607399717
181,1181.625165966782,1201.9478198337536
