Time (s),Total Distance (per second),Average Speed (units/s)
1,1794.7035611106512,1743.2581200825985
2,941.1792663249239,929.6687182377574
3,929.3655078252511,931.2440821795282
4,389.62670076229864,393.58362382831103
5,584.7759073157247,533.0882774149342
6,1392.2207962948787,2314.280829854446
7,1632.0765834590572,1713.0311314807848
8,1569.6536401996646,7708.745046788848
9,2260.299178635416,2255.9667561287206
10,2553.8274704251426,2471.686564203443
11,672.0562678476892,721.9266954050194
12,1259.8817340175387,1257.6899331370416
13,1488.7413528469988,1510.8281510495285
14,1803.2793817024506,1813.9251569177384
15,2009.4232213266516,2002.274387147895
16,1758.13019291362,1746.502089608409
17,960.6933735593881,1060.0458554238899
18,365.4852367405753,366.6400698481163
19,423.62220629364566,427.2884162047278
20,1094.572770996916,1065.5474407190836
21,1258.6960020682773,1242.520547255539
22,2187.7409172433217,2286.580017854808
23,905.8754809361576,906.2583861235763
24,1676.2437738942992,1675.7667383293997
25,1248.3231302915601,1272.0780571308717
26,2330.1574907592335,1687.5438730345782
27,845.0439102761878,877.5318740659237
28,224.36913375407744,227.1694639899915
29,663.5293764658531,663.7325181008266
30,2438.7866615816397,2452.2927172314317
31,1863.5692557911652,1864.7353186098376
32,967.6059078248658,959.0056136495276
33,1951.920428445711,1931.4250974005554
34,504.7236782704747,508.1947206170877
35,1929.3370948238805,1356.691947180944
36,883.881806185839,885.2264668671619
37,558.7820990158381,561.1489493010708
38,4078.084489138706,3443.1446628440112
39,1800.779661826355,1749.9945515105596
40,2570.875626561584,2352.1441207816556
41,1633.528036866069,2926.097543648903
42,1121.8812875853876,2187.8553875747193
43,876.2009184122459,868.1461764972188
44,446.355366767295,446.4970966235238
45,578.2599696196445,578.9689240342994
46,2612.269266571006,2634.767027172732
47,1018.2733308472451,1024.4564489162922
48,4085.7296080858964,3312.9085252784457
49,573.2977697157919,593.8140411475986
50,1560.3888246983302,1579.0912587834237
51,1442.9458596721129,1515.7303740824696
52,1356.7252244347837,1353.7587310413978
53,1129.604115535568,1137.8341439924309
54,2518.8341617145657,2540.187320358863
55,2345.244071793793,2365.3790429221776
56,999.8357322189493,1056.6057222621753
57,713.3328921189183,715.0127809745591
58,995.0539051265881,971.1399964135466
59,1823.110507025159,1843.4888183039614
60,656.3284521335038,656.4858328647157
61,2196.90193906166,2206.9346392413095
62,1506.752425017501,1509.5510354869677
63,952.6542232301584,958.0621796871965
64,2436.8181504393006,1193.155641391296
65,306.97129381106066,308.3071136593253
66,2305.0846429016096,2052.026300987565
67,486.5424835047183,500.47482380949464
68,415.54095466321314,405.5344145750047
69,808.8352681246367,811.1038300009853
70,530.4772069409223,532.9476136940893
71,733.0111817768319,742.4137736593619
72,3151.5048904549412,3146.0895907929603
73,384.9422946535074,380.9938389633387
74,213.124240667712,214.27442200520153
75,978.0137854470574,1138.3325915454445
76,1738.7472574759624,1745.994934862966
77,794.2481759339314,782.4107541124027
78,1169.5922991094549,1139.551717962573
79,851.5706907202729,856.4079859080286
80,1018.3030058456204,1000.4719284652874
81,1980.5488887317533,1998.1059830310176
82,898.4682811858534,895.9605328618405
83,789.6913956241076,794.5513397694447
84,1256.4304592424426,902.9856154281068
85,94.79115237440953,95.12498683280411
86,431.97607969907875,434.0759554374981
87,1232.60927999222,1237.1094475631974
88,1338.5492284440227,1299.674653702501
89,782.2553429113428,780.1592520504723
90,839.4974657519713,817.4498962084256
91,456.72137247507374,468.036102880023
92,460.41261494156925,462.076443063834
93,795.918986104547,799.5040478959372
94,450.10075637881835,450.1250685283177
95,593.2948595658218,574.3505376392661
96,307.9130949531394,308.8871725913765
97,1631.7806015747335,1591.4585427901798
98,255.79082267736757,256.54766349458856
99,560.9378148222853,562.1194850082586
100,1262.9405162625535,1269.2792468467228
101,1017.3400207420661,923.0361254317295
102,290.46473454399296,290.5599132422079
103,1647.2168245420849,1610.1936935844833
104,297.28325143382244,299.57907572299416
105,534.4802442601773,541.2490565949591
106,2215.5440690251653,2225.9175126345576
107,792.0673125988873,769.8423109877747
108,4134.492512826119,2928.06326086919
109,322.7344918837245,323.413544573824
110,453.28715249748944,453.36590138864005
111,570.7440013561209,573.0325496333836
112,388.0429470520313,390.6970386087312
113,1499.0678560066938,1509.2093993553099
114,1515.9271808377946,1510.6279764977853
115,1613.2832200016223,1591.5332694000506
116,2111.861390767835,1339.2923704719292
117,2290.69363973657,2365.1900612157665
118,1941.2949852391725,1919.5198455320774
119,1474.4498127658262,1475.739529595082
120,478.93440498711965,479.12242843921615
121,928.8125066305048,931.7593464688138
122,755.3238786168392,637.5842661314676
123,555.1916502340987,630.303795094715
124,944.7693910190254,949.7273636464064
125,708.3228080089499,709.9549565218385
126,1694.9849924065804,1647.5179379379967
127,624.9584740448315,626.298135634005
128,1945.151853646545,1555.1387154550982
129,705.2496361492017,708.9298574507131
130,908.3405476715179,921.8668476696149
131,631.3573929181176,633.8068257959637
132,311.0173904635116,312.3245474677567
133,617.1162678206484,621.7746050958349
134,598.8629562679852,666.5752275512426
135,1913.1439407344515,1909.8440047921652
136,778.5705425247093,759.6060325622303
137,1632.4438629357307,1648.2520279744765
138,2162.1206343366084,2170.3169897162766
139,833.6860438492974,704.782826222989
140,439.57029760311457,534.7185965175826
141,728.9066417110583,733.0900672006803
142,730.0089776731796,733.450638749021
143,328.94647715467414,304.9413479327372
144,2306.287695723112,2536.3601686796255
145,669.6154441055781,670.5008992529353
146,1633.6093083989658,1600.0401116326186
147,952.9073792942622,946.2583295003242
148,121.54810286378876,122.08296037575303
149,139.58985186897812,140.15887774501994
150,435.8940462397605,204.34806729743832
151,606.4635698671245,595.5435814134106
152,1125.3970036629935,925.121482396352
153,116.67054319449439,117.36642877440853
154,134.5661587184256,135.27798688692167
158,2286.375957794784,1959.5342921675685
159,496.3333741420071,2309.923370440837
160,894.6859206473661,863.8446929122798
161,671.1811898230093,662.178578082251
162,343.3722406387556,344.23128008024105
163,470.1771725809849,467.37194869807865
164,608.3783724508576,607.2473844178111
165,483.25191473137306,462.87782603973045
166,777.9988965582227,777.7792329540994
167,459.27860697452337,459.30874620634165
168,1433.9154897122867,1181.892583232924
169,821.3044802748055,817.096170876533
170,415.4646787208805,414.91601439143045
171,363.11431315808335,363.26390794126115
172,1441.5893577656902,1268.2667037369683
173,1278.0635491643516,1279.2130709098167
174,993.5390789281088,1000.5312786461844
175,872.4548092090225,846.655304531164
176,1422.9177785575405,1381.890563249639
177,2849.898370046962,2889.9666861013598
178,2264.269338257712,2307.8210572547828
179,245.42211061994968,246.72503286575315
180,298.1509067372641,299.24094141708883
181,279.76030842655587,280.7221345376511
182,1246.2363182077186,1053.081190073257
183,905.8966164906234,907.9722519051941
184,1039.9377444701804,1013.39994897799
185,1531.8437942875507,1563.5855270297507
186,1363.9763862798275,1363.4563930019376
187,423.1862767802851,425.12692001304794
188,1203.6049143597477,1206.6126158878587
189,1755.8509024938323,1760.0420851724425
190,1401.1576486917104,1553.9958959459989
191,1322.763847298126,1307.0958846403962
192,582.4665754983182,583.018646623193
193,1801.3972960920826,1836.0874410695167
194,1952.9997195840767,1899.4502440879019
195,593.7642802872112,592.2110089554742
196,541.7323131350181,546.8756331944551
197,2285.5502460323532,2037.6122252805822
198,814.1227716422746,828.0811351739152
199,418.2122599689483,420.38942754800087
200,1925.713860052144,1940.5218070978651
201,1699.8196666198949,1716.5208963884938
202,1935.8715975464077,1956.322038964751
203,894.914913148222,892.9758726107118
204,392.07265088385225,353.1289484082882
205,347.19632365543714,348.99834870288095
206,1070.7430647400963,1078.370982946912
207,742.0561311134578,744.0942716974599
208,367.85874971158955,369.68070610290613
209,229.2265919838616,230.0960856194479
210,420.5930770275056,420.4094254748633
211,461.63808140110274,462.5180878440102
212,1678.3003418756675,1697.874614896926
213,1004.6582773090453,909.2891998338753
214,532.4029003246301,530.2463316704042
215,2458.4276467610025,2476.8514104811807
216,2300.7714901121944,2305.89098150561
217,1135.282934444499,1125.1213457972794
218,1679.667415111676,1671.2951438483594
219,435.5959755266455,433.08653175609896
220,1120.822005709222,1113.029680444979
221,830.3058185021804,854.1720784819341
222,322.88817922949795,323.68624922263456
223,937.9814075578802,913.3216265993
224,782.8036552143216,781.4587597711834
225,1365.06963937298,1377.1487570375052
226,1457.462151011706,1443.7209282862732
227,1789.4136813204195,1815.6377635295262
228,1067.9387630005936,609.3232225185906
229,2258.79302083668,2635.0983163306996
230,343.65134370263263,345.69427697219214
231,1584.7093969722473,1567.4833728137517
232,670.1294101675885,674.5403537548975
233,575.7487016159157,561.6909212145334
234,1053.5647464314227,1051.3974050250401
235,731.2774389607729,613.2108576288523
236,1081.6686903538546,1286.5274637106709
237,596.2238844576189,598.5904449018581
238,523.7492799969431,528.4970003951072
239,362.03548347599747,363.53335874328326
240,2940.528631418849,2954.052154269645
241,1513.2065410377782,1506.2523110924942
242,474.8617513602948,476.7633578587984
243,476.4841252514395,434.36990568433544
244,1654.7485996206824,811.8238001147769
245,2332.4791801614183,3794.14719466696
246,1922.0281943601658,2464.5023160280066
247,1237.9178390517272,1167.0191600835049
248,2299.7112791353197,2332.3752268335975
249,2434.5326294489587,2595.271966930336
250,737.4957696398285,738.7610635041964
251,906.0875290504925,908.4445244918285
252,2459.058093599615,2062.2287068515657
253,1135.0917112600762,1146.5865022238866
254,727.6562491944159,740.9965296947228
255,2808.782601704701,2621.157640981595
256,328.32993851344065,327.8427858050189
257,747.1038507281119,753.4837775830434
258,801.3313977043775,842.2241247318136
