Time (s),Total Distance (per second),Average Speed (units/s)
1,1431.2745818145866,1392.2895729085074
2,665.2035769997176,666.9089906956099
3,1923.1702794642874,1926.143798647107
4,1361.8132979355282,1634.7920626568564
5,270.9366991479468,272.1784967594657
6,313.6779880928586,310.70211850866804
7,619.3339641077797,2324.609186708358
8,204.79570637630098,936.7668529737574
9,2320.15443733881,6440.131947481838
10,1413.601525751324,1725.020315710314
11,802.8586930007526,809.561010466552
12,1135.64233849187,1142.6961084385025
13,1457.4707087637992,1447.3418162725816
14,2243.7718529405474,2241.2574905591537
15,743.8082313641538,744.634446744144
16,1034.0388691446876,996.055698584529
17,1900.1639244180444,1893.9330952595537
18,879.2809029586468,884.2313031952151
19,461.67701822071257,462.3950467571073
20,320.74620814486207,311.8361363341711
21,650.8341547391728,653.6673492627579
22,3981.2347730589377,3183.0241511017643
23,1714.008733668961,1719.404572087919
24,1013.814041251465,1044.826028332458
25,864.2327861522172,866.7074632606582
26,1915.1663935495926,1905.4038033630698
27,2859.4064759407725,2876.8087269645875
28,1361.365462760346,1366.7391444757004
29,1036.6129997916144,1038.7870928991383
30,904.7756250162014,887.37020130743
31,924.0322244387165,927.8116623452242
32,939.8916463845682,929.7507904843164
33,3062.7255817329983,3025.5321945386545
34,703.9689403464329,1225.1599440721714
35,2080.734640041412,2148.965402182516
36,3196.7894753262935,2354.117498161015
37,846.4863531254621,1966.850653306882
38,2439.8254664831793,2460.076969539152
39,1363.5835430282348,1334.3266773136593
40,2220.5651605762787,2236.5040413380493
41,1596.2704281732606,1601.9865223272318
42,1650.8655961089119,1649.7234664647522
43,1642.1649436680818,1647.5505571055967
44,1167.3378796073764,1162.0919059999867
45,234.55015612555636,234.92589430934723
46,1543.912061527335,1548.3620276664979
47,1376.73903312952,1583.238113699627
48,2089.931985868989,2001.8653166015356
49,2701.307788783203,2699.118350881758
50,3162.750967706581,1297.845603408199
51,2229.7989330651917,2231.2156036257124
52,519.4206899678285,518.0939423259497
53,630.0744593092213,633.0791063715252
54,2288.8671578383314,2329.857119049293
55,741.6318996956772,747.6020049679282
56,1771.4248167383403,1779.2352587367534
57,400.67778726954793,404.13607212256557
58,518.690734431173,521.7008119816174
59,336.41836887028484,327.5357564183554
60,1609.1162160405584,1620.7949113926436
61,1643.9794322670593,1671.4957869711677
62,1216.2907700011754,1195.6959194967915
63,650.0952615062637,659.3616453147414
64,383.45419225050745,384.65233528048026
65,967.1535888537287,967.8695366319748
66,328.12300938782477,326.21273000710136
67,506.0158864508822,507.2238916181437
68,510.8016816981728,498.6088396300927
