Time (s),Total Distance (per second),Average Speed (units/s)
1,2278.604636095874,1934.2741023474912
2,2372.896823924066,2382.2858506512175
3,3077.9980338616538,2759.6324556111886
4,2157.281531840163,2150.4411375986347
5,1959.9290380067441,2002.4689737446563
6,2402.91833547434,2568.519199696608
7,929.0794188010595,1191.3263706630867
8,1657.3001282775392,58512.481866389506
9,2839.1425111804247,1566.9009093193936
10,1506.4233611479854,3146.417151492213
11,2338.596275453066,2322.716757286571
12,2343.2834789462167,2331.7183722515083
13,1346.3502949507754,1339.964891432472
14,1335.6050592152912,1339.6436442589038
15,904.0372801875347,906.7503175644309
16,787.2806002253511,790.7057390903468
17,290.48603716825744,291.6826133990739
18,2142.4220694484475,1757.1738441240902
19,561.943250860242,563.3630928118998
20,2151.978923176985,2086.985722569066
21,529.6831280718176,532.0614575773856
22,423.0529895698784,425.3606261050701
23,992.2864543261525,991.5370065946767
24,680.1848795146567,565.4720241768359
25,1166.4433369162386,962.9820990966546
26,452.108083640358,451.8727157026432
27,1723.457398652725,1767.8280774772982
28,1448.62736698792,1460.9531319051825
29,599.8196506014656,582.4621414419058
30,1441.3310725182157,1471.4450453565257
31,1878.03251404997,1874.1068491531507
32,1109.4878071495996,1110.7257462920168
33,1910.266425956334,1899.8795219183223
34,311.38346273767564,313.1113542999948
35,2945.0764731982636,2928.3400707413416
36,2456.142298276846,2435.8793237966242
37,2432.720528030738,2453.3138259272027
38,1592.3633922326305,1583.6087482261098
39,2882.516046657742,3076.148224520039
40,2437.653076836266,2335.5058188261205
41,2123.8339513643837,2421.0433553204266
42,1297.029640674599,1520.2310168591155
43,1548.3173560059868,1541.2923669658708
44,1652.77612527685,1750.905997483417
45,1450.4680737169995,564.3791970788999
46,885.2772691864544,7375.819711125508
47,2436.2702835144946,3396.630424509809
48,828.1786794573179,517.8267621708752
49,2311.08348729694,3173.5779502252994
51,2563.4350499640814,2861.026221584488
52,278.78537986463743,493.9715348403194
53,1772.7696730577968,2087.2113595207607
54,1603.1879992110173,1834.302974432824
55,1138.9703490151917,2970.4982872950545
56,798.4853678574553,798.9733944347565
57,3232.3592282843047,3287.978330485109
58,1346.4516758873906,445.80080719682184
59,382.77087654621135,1779.5965426914465
60,1816.6968325023288,1340.9377591158234
61,1322.2793031556366,616.7018836699682
62,564.253280507868,958.390735852453
63,1675.876018336526,1649.5211205753574
64,2088.2371515173927,2101.204196120723
66,778.7500412421275,3682.1037399873917
67,1477.5937927036084,3455.4790425111687
68,2413.0330530791684,2421.425614257489
69,1545.1501750880564,1545.1284881376043
70,1135.0952804310764,1120.393673849936
71,1441.7532196408517,1443.2151887213568
72,582.4815183339622,577.8394102314471
73,952.7336282849145,922.5757379093212
74,279.65826402004177,281.24900908747395
75,168.75297968647072,166.3368326365552
76,617.136554263611,621.0907552032897
77,424.6239143321777,425.6934716669143
78,1001.3379109115928,995.3844672404749
79,1164.4851802869068,1165.5447838598782
80,301.2109818282454,302.19077761240675
81,951.4607609665259,952.824546561852
82,930.4439063432924,921.038986827768
83,841.5582232994165,847.4319227493044
84,2545.2169299479774,2549.6151530902785
85,611.4451416017403,614.9248834122781
86,691.3718124963773,683.6214134759533
87,603.4358745558488,607.8115872884574
88,1017.5173373925154,920.2707165070884
89,765.6652964312473,772.6591101686131
90,1970.0426165498725,1987.7390675863028
91,2011.2678123698142,2011.571243417701
92,1304.4123823958937,1444.9544138218612
93,1834.7879663634676,1215.1398720703003
94,830.7173372899474,823.264943265174
95,709.1265518860527,712.0726796770809
96,517.2139842388552,518.3096111832451
97,276.8064004247965,276.5303667124024
98,488.2831433259167,475.01426666098087
99,629.8514820242324,634.2880803846236
100,374.1438592209652,374.2382165989514
101,377.33705982480717,378.0158720137342
102,1321.5213814841582,1342.5047450470418
103,1713.0024395247387,1698.2789561019963
104,1825.9558563277271,1835.630003928187
105,1254.4833124619488,1286.1756051545055
106,982.464547409432,980.8805396479045
107,357.795160095716,347.12477604899436
108,1024.4226030890852,1023.2142486205487
109,386.9651234625056,388.68434656280954
110,1141.702394972506,1137.253695735054
111,1007.1955397738474,1014.5534394180711
112,700.3381565701725,699.404589673731
113,1035.8587104316414,1070.8421102615632
114,1149.03760520337,1126.179728710082
115,1143.291005754491,1151.157584480922
116,472.20480711902513,473.7147323928553
117,444.2871645465531,433.3606914299759
118,821.9065295799065,827.56896888103
119,1171.4184719832665,1156.5249124091079
120,275.58120131376756,276.1178450864117
121,1652.109407668209,1661.2816840902665
122,1425.7452123205483,1442.592481722266
123,226.08494870277332,226.6429595961689
124,281.91837246446914,257.8726195271787
125,306.67012044676443,337.875836528863
126,436.3872298777976,437.9807114292242
127,1092.554605405011,1042.88130781778
128,420.717585579572,421.0528639593817
129,949.1648161219011,957.8954619641161
130,266.92629876159646,268.0652021439092
131,691.1688538677479,624.3377141148786
132,547.061959762811,548.4789289272389
133,264.11292744625877,264.70865704339286
134,924.9662486257596,916.5547631201305
135,1264.8344097888878,1272.489870892855
136,418.8259300773547,407.2487760114199
137,696.3589295613264,699.268972373182
138,385.16389707677206,385.9098873350591
139,602.7290454081464,606.231331512406
140,656.1508360130492,656.5571404511428
141,428.301196093809,427.6308003061108
142,583.4475321238104,585.5431999169798
143,498.06600283319926,499.6476331062514
144,843.4180038766773,609.3888050904192
145,548.0159851480755,578.4318163947978
146,982.9109493325766,952.1451215161612
147,523.7085183360069,526.1847407603888
148,1027.9804060137617,782.687812101884
149,1169.7565094890779,1222.5773512891649
150,1322.5468484832388,2390.2848607431793
151,16.354988840523713,536.021763294543
152,2133.515155567857,2130.3318957680212
153,1159.3592562818997,1159.7819654567718
154,300.5853734586242,301.0946345419357
155,772.9551081565197,770.620167139577
156,327.38111163985985,327.21463941600865
157,735.0889451337218,724.1496361659101
158,812.2405240013734,852.5462199950595
159,678.5985031147188,682.0461609251213
160,1525.1996454269129,1454.3653368810262
161,877.2760452666367,877.5213208039789
162,173.74543334470135,173.79424505749918
163,631.1686720601044,633.4244548725856
164,581.4857833232603,584.6503756935051
165,1745.0173930057208,1734.22698213415
166,1515.8215546173196,1512.2275715863655
167,2421.7968866772203,2449.9378780952684
168,1858.610354955558,1747.4011233712197
169,1179.072372263851,1180.2104416975053
170,1295.2914792990584,1320.8697067053267
171,344.3272160103025,345.907467014812
172,1689.7650257044427,1710.9498939455978
173,530.8749570194295,525.4146863741859
174,1435.003242690995,1410.9898796898954
175,584.2598067891643,566.6409400871431
176,548.1110593713831,551.9784545799547
177,1566.3272957488066,1576.8722209282087
178,1189.8442098529124,1193.1161690003871
179,1163.2962048083673,1177.7165234588413
180,862.6175888745295,856.9761549273273
181,1431.187577619319,1434.6226653773113
182,314.2611036203922,315.8168155130214
183,374.9984948552768,376.09733482736897
184,449.7842898455318,450.943187855803
185,1695.2313096646544,1571.3733317600916
186,638.6062164880226,636.3482551112564
187,1180.4923439435902,1233.9293401360712
188,1221.791086481313,1276.742855868546
189,458.5403205052757,461.1641935109305
190,895.323994520021,897.1582780801772
191,976.3727994194408,976.6505064074199
192,764.4364496215408,770.6808417732407
193,612.0678529437229,615.0294622123312
194,879.7746994821811,855.6583936293744
195,1220.948222173647,1078.9912584489614
196,1315.087854020607,1311.788338151847
197,684.283239022267,690.2677963639044
198,2813.0091932104424,2499.837064403868
199,961.2479996731446,978.3129213281042
200,1275.683027125233,1277.6140445439314
201,609.2033852422106,606.6089721223232
202,194.50560270121497,195.0607634063722
203,1275.1672449313928,1265.791944593074
204,1240.6856533389089,1220.1721075086225
205,1247.9312804166466,1270.6691701818563
206,717.7682346006519,719.393412568569
207,431.54389178062956,427.8166733297793
208,1509.0648712122138,1071.918787191619
209,1127.83486754808,1149.4818706077942
210,1438.353449239106,1444.2383332335496
211,820.6218780837692,822.1285311022604
212,719.1835709470189,720.6205294098446
213,782.8981475562202,789.1117987633663
214,346.82579257777286,337.28813783752696
215,3014.6037555910907,3065.646705171336
216,1091.9454342322135,1083.8852271527153
217,3478.729586862803,2616.039663910469
218,2589.760014009355,2597.1275732975428
219,420.249859277162,423.0934005527007
220,498.7746263079361,502.55299182479035
221,636.2010091026007,636.8647193558171
222,392.29989773154034,395.0413113711161
223,417.20809119474524,406.49665351331964
224,423.93042643544885,424.00807984368737
225,460.0851413441587,462.5065200563223
226,128.0451964372507,128.18548104090752
227,987.9065000290968,778.140579446838
228,2775.978338896292,2805.616398731306
229,879.8356282502231,878.590282495585
230,705.5873885342146,711.442412826529
231,512.1685695198812,513.0823976402211
232,588.1856343410075,588.970112624803
233,824.94173998798,807.1186912796445
234,1347.0244126297234,1350.0285881153754
235,2823.120100762947,1682.6929240213806
236,723.7942716568334,729.7409296660368
237,617.5035763808934,622.4426788342228
238,597.9484703488101,602.3080224981887
239,563.9395387187109,566.671818981246
240,814.6403037160546,819.9554377173735
241,927.3877564127608,933.1964416479732
242,2463.5966781522466,2468.998874420479
243,546.336807146299,531.025524341726
244,1057.4411333529777,1062.4277544855865
245,795.7693568968583,801.7594197992104
246,1111.9295730693987,1116.084629146279
248,1010.1255856915786,721.4512798101148
249,71.65203920763095,199.32811081487287
250,538.8137621443191,540.711959466819
251,2141.214463520043,2165.5301091964025
252,1159.1319574358754,1150.316111546712
253,2973.581038308266,2070.4303273251244
254,266.9859317317758,269.38811956180786
255,963.4005479249149,968.0565460812195
256,637.4172665755358,639.4295232851462
257,353.63848756916633,354.0847824796089
258,327.53965226200705,328.50901113133386
259,529.7479121155536,527.9740983654291
260,1362.2823065115676,1355.3902496937692
261,1953.435109606254,1941.1175648696262
262,332.45402412007525,325.54406210008983
263,426.42284038946013,427.86865653033794
264,1745.0385606021662,1802.7485604778492
265,1593.5348297741073,1612.165704532778
266,956.3424423045726,961.106829509502
267,395.8567638780467,396.7579862382448
268,379.4252029814601,381.70884056684974
269,373.1130820258053,374.329297542648
270,1780.2547161116731,1813.534749749937
271,2075.273735668694,2052.516858338454
272,1336.2548279865805,1304.1138007392121
273,1065.8157640360089,541.2449490360816
274,345.85488512262253,346.57024074977016
275,357.91336023529476,359.8844158530651
276,401.0734032548082,404.1964784086758
277,726.3470806177206,729.2251360580692
278,442.4034427389131,442.9002354930461
279,444.15617472767013,445.8633620985344
280,508.3620537935218,511.5355250243072
281,344.04820804891796,336.42608549104955
282,378.7889265689049,379.95959408666965
283,695.3560220717582,697.804176284737
284,682.5973211326946,684.5345835183939
285,291.2784815442357,255.96311868939713
286,1434.4453243089758,1423.9533363080873
287,1249.5156468501254,1269.9759492103567
288,857.0042574787268,855.4068863407161
289,600.7245976059747,600.830685388582
290,433.3045279989145,433.2463705559254
291,584.4392560178985,588.2031762174902
292,725.5524684972104,671.9433491146223
293,2371.905265583356,2412.2768406219852
294,1434.784621682254,1415.9525235926678
295,1141.1848158291782,1137.6373815896982
296,1768.6918777278006,1421.8333357530148
297,818.0427044257145,820.5420898100672
