Time (s),Total Distance (per second),Average Speed (units/s)
1,1124.2729039091623,1097.3054560515113
2,1447.1455677723368,1216.4833668658825
3,2238.8968770944803,2256.842606547614
4,1445.5635823133503,1136.6689918082684
5,1958.8472726019668,1761.7277750090275
6,1030.5326391337198,8201.233778575452
7,1103.6558722946143,2104.3509811911285
8,1301.2443875181084,6675.813010046948
9,953.1593562339655,1062.5357295368397
10,851.5630533234576,826.6379025980268
11,1055.2537782259228,1052.070325918237
12,1314.7024745046272,1320.0847065236967
13,859.4109947828478,860.0467735299912
14,716.5159768636889,731.9523178301706
15,1045.7203051100048,1050.6571758550626
16,1707.059426602961,1717.7696013805787
17,2457.1227544070616,7876.000830129053
18,807.9557045395147,910.3746922062438
19,1758.8771186418192,1758.7249663864395
20,933.6813172838615,891.9274791247185
21,1113.5185402569584,1061.77407192889
22,1199.3551471539852,1218.8941145265962
23,1727.364955584117,1733.6521109591708
24,1370.3478573729133,1367.507696668767
25,646.9548450663873,650.0022047663505
26,708.9486842945777,711.6390294124093
27,617.697010412601,623.8449366538433
28,310.5641120492064,310.8796835017033
29,429.17280170409146,417.4278855860409
30,605.3542455423182,607.2328958871924
31,475.44664868260736,478.31034910586493
32,583.3145996527063,584.0162495716444
33,461.5049083865635,482.8620497906169
34,594.2359090100904,598.3795127213994
35,518.0651504676448,519.9219299398369
36,516.4273218128787,518.1557411156556
37,789.7875941385573,795.4183017220016
38,929.3477839046213,941.794245579941
39,346.7915166144072,335.6064651392928
40,752.9631177456624,753.9511830432203
41,683.8574314913815,744.3097371551573
42,1037.4040398159295,1044.4434092797055
43,2220.6063695518515,2208.2678671209283
44,2266.564558600777,2308.5568704806115
45,1507.060768555544,1534.1640091938368
46,1433.7114336917393,1257.439671700621
47,426.9842605950209,428.247298240226
48,677.7563485477419,577.5767474412819
49,529.0770114153624,528.5859590289944
50,1927.8719254461625,1929.9378372385522
51,1608.1411559592443,1592.1210036860896
52,1514.9661815706713,1532.9205217793708
53,642.3834401108513,644.1142097932989
54,910.6069119106415,912.9097424540366
55,1326.1585773487125,1328.7557699337647
56,684.6195274310619,665.8533618416014
57,487.0523292761864,488.1062116943894
58,1107.2468376913907,1082.3778725881984
59,1309.19770512873,1297.9712038943505
