fixation,duration,start_time
1,390.0946999788284,0.0
2,121.22780001163483,482.1280999779701
3,181.62519997358322,694.6035000085831
4,211.52730000019062,906.5259000062944
5,209.94220000505447,1148.017699956894
6,332.88590002059937,1389.3022999763489
7,270.8043000102043,1751.5790999531746
8,150.49339997768402,2114.8113999962807
9,302.13480001688004,2295.4760999679565
10,241.9844999909401,2627.964999973774
11,139.39950001239822,2900.458599984646
12,307.25360000133514,3051.3734999895096
13,409.5547000169754,3367.0000999569893
14,177.89749997854233,3809.611599981785
15,241.49390000104904,4017.643700003624
16,123.40869998931885,4410.648199975491
17,332.9239999651909,5043.960500001907
18,301.47809994220734,5407.129000008106
19,362.1326000094414,5799.659399986267
20,120.33050000667663,6313.283299982548
21,534.9722999930373,6464.004099965096
22,182.13730001449585,7007.541799962521
23,149.1618999838838,7282.016799986362
24,150.77930003404617,7640.948099970818
25,150.4355000257492,8185.230799973011
26,180.66269999742508,8366.362999975681
27,241.10939997434616,8851.297999978065
28,272.0320999622345,9122.849799990654
29,150.49590003490266,9546.473499953749
30,363.2189000248909,9787.129099965096
31,178.76810002326965,10180.36109995842
32,215.26700001955032,10450.73299998045
33,151.1248000264186,10693.943799972534
34,151.85210001468658,10875.182999968529
35,120.22659999132156,11178.288599967957
36,121.55199998617172,11448.41789996624
37,329.5455000400543,11602.36829996109
38,271.9984000325203,11962.344199955463
39,178.79869997501373,12779.416999995708
40,120.61089998483658,12988.544699966908
41,120.57910001278105,13139.78829997778
42,208.53579998016176,13865.664099991322
43,119.7930999994278,14105.99479997158
44,120.17979997396651,14500.608699977398
45,114.9858999848384,14805.740099966526
46,120.0095000267047,15377.99939996004
47,209.62279999256134,15589.745499968529
48,211.02990001440048,15922.224099993706
49,121.3352000117302,16222.661399960518
50,120.54710000753403,16373.350099980831
51,301.0988999605179,16768.13830000162
52,181.7334000468254,17341.00509995222
53,630.7247000336683,17552.54329997301
54,302.4107000231743,18458.915799975395
55,239.13050001859665,18791.640299975872
56,211.0195999741518,19182.648999989036
57,302.3080999851227,19575.120999991894
58,513.3420000076294,19907.28109997511
59,423.020899951458,20450.70149999857
60,362.262600004673,20903.95039999485
61,152.62410002946854,21297.09469997883
62,996.722000002861,21477.88799995184
63,185.04320001602173,22625.02999997139
64,151.43039995431536,22900.044200003147
65,241.39980000257492,23081.33329999447
66,210.58890002965927,23350.78719997406
67,150.88179999589556,23712.30259996653
68,304.41000002622604,23894.21109998226
69,1960.4717999696768,24227.972999989983
70,152.8257000446356,26220.731399953365
71,1325.1037999987639,26403.96109998226
72,244.2529999613762,27910.764299988747
73,180.2432000041008,28184.619099974632
74,119.73339998722076,28396.45829999447
75,363.3680999875105,28546.55419999361
76,424.91699999570847,28998.9102999568
77,179.429899990555,29514.486199975014
78,210.81539994478226,29726.27950000763
79,330.8316999673916,29968.29060000181
80,390.89549994468325,30390.658800005916
81,512.5406000018156,30872.81069999933
82,330.06639999151594,31419.475899994373
83,118.05820000172025,31784.29759997129
84,299.38550001382464,32022.280599951744
85,1146.6571000218391,32351.84209996462
86,181.7432000041008,33530.02120000124
87,479.6444000005722,33743.69299995899
88,333.255999982357,34348.72699999809
89,271.5623000264168,34711.6724999547
90,485.8589000105858,35011.20059996843
91,211.5939000248909,35526.98179996014
92,301.4569000005722,35769.40450000763
93,508.6875,36101.09659999609
94,152.86790001392365,36672.00379997492
95,332.6665000319481,36855.11649996042
96,123.19939994812012,37215.58550000191
97,181.82980000972748,37368.99789994955
98,243.90590000152588,37578.69339996576
99,302.015399992466,37852.844999969006
100,212.25980001688004,38184.729799985886
101,180.1787999868393,38427.771699965
102,151.0394000410961,38639.09349995852
103,180.83850002288818,38820.14949995279
104,514.4591999650002,39031.27619999647
105,151.08000004291534,39635.8477999568
106,210.5760000348091,39874.731399953365
107,301.75510001182556,40208.4836999774
108,302.09189999103546,40660.03429996967
109,152.167799949646,41053.20260000229
110,153.1923999786377,41325.005400002
111,121.10449999570847,41509.03109997511
112,330.4548000097202,41659.44619995356
113,268.853100001812,42022.03289997578
114,181.6802999973297,42322.15039998293
115,301.9922999739574,42534.12669998408
116,151.1346000433041,42866.70229995251
117,270.74059998989105,43047.37110000849
118,151.6554999947548,43379.36129999161
119,240.3391000032425,43715.25839996338
120,150.4685000181198,43986.35509997606
121,212.98980003595352,44166.19769996405
122,181.8400999903679,44408.75199997425
123,301.7426999807358,44621.442900002
124,392.0605999827385,44953.47439998388
125,331.5939000248909,45376.24829995632
126,298.61210000514984,45738.91609996557
127,122.14399999380112,46067.44589996338
128,270.45390003918874,46219.84349995852
129,152.36309999227524,46519.924099981785
130,183.09240001440048,46701.463899970055
131,240.89739996193384,46975.17449998856
132,153.4825999736713,47244.37029999495
133,271.6208000183178,47427.94639998674
134,152.7026999592781,47730.12999999523
135,241.53500002622604,47912.871899962425
136,211.8391000032425,48184.09839999676
137,364.6715000271797,48423.29859995842
138,392.1503000259545,48818.88129997253
139,181.81859999894368,49332.20709997416
140,211.66799998283386,49544.0692999959
141,121.43340003490448,49785.54899996519
142,418.55309998989105,50208.27669996023
143,125.97020000219345,50656.67689996958
144,362.9402000308037,50903.277099967
145,151.39060002565384,51296.06989997625
146,271.6772999763489,51477.53839999437
147,363.14950001240504,51839.56849998236
148,271.80550003052485,52233.20229995251
149,664.2735999822617,52534.6563000083
150,573.6546999812126,53229.42350000143
151,211.8779000043869,53833.285099983215
152,329.0849999785423,54075.649800002575
153,392.25849997997284,54435.87349998951
154,149.83630001544952,54858.49409997463
155,393.9143999814987,55039.47769999504
