fixation,duration,start_time
1,631.2132999999449,0.0
2,181.1011999999173,661.1806999999098
3,147.91789999976754,875.9791000001132
4,208.8473000000231,1056.7595999999903
5,184.3192999996245,1295.4599000001326
6,150.30560000007972,1510.4887000001036
7,151.32340000011027,1691.5167999998666
8,387.47779999999375,1872.8188999998383
9,328.30089999968095,2296.178100000136
10,275.3568000001833,2654.6957999998704
11,273.06300000008196,2959.9487000000663
12,239.82270000036806,3259.181299999822
13,198.67609999980778,3516.87900000019
14,489.8591999998316,3768.9783000000753
15,242.3061999999918,4349.872500000056
16,229.30590000003576,4673.916600000113
17,382.87850000010803,4995.515300000086
18,174.20880000013858,5416.946500000078
19,335.78739999979734,5675.686600000132
20,361.9043000000529,6098.957799999975
21,181.59560000011697,6554.885100000072
22,181.13769999984652,6766.681499999948
23,392.81140000000505,6978.106499999762
24,241.6647000000812,7400.726100000087
25,211.30810000002384,7672.655999999959
26,331.9596000001766,7914.742599999998
27,359.9204000001773,8276.69859999977
28,242.2382000000216,8669.10440000007
29,151.4780000001192,9001.761899999809
30,120.63929999991888,9183.583699999845
31,151.13499999977648,9334.28010000009
32,240.1449000001885,9515.309599999804
33,121.4391999999043,9787.01459999988
34,151.48529999982384,9938.457200000064
35,420.3752000001259,10119.942400000058
36,416.61610000021756,10573.698199999984
37,302.7404999998398,11116.18889999995
38,332.08809999981713,11448.968200000005
39,151.28969999961555,11811.121600000188
40,422.88870000001043,11992.622899999842
41,212.07090000016615,12445.3152999999
42,151.30629999982193,12747.759899999946
43,211.4790999996476,12929.053100000136
44,542.8708999999817,13170.847200000191
45,694.7025000001322,13744.106900000012
46,153.93660000013188,14466.610799999908
47,151.28160000033677,14650.580999999773
48,298.90299999993294,14832.038300000131
49,242.01230000006035,15254.861500000115
50,331.0612999997102,15647.38730000006
51,151.93730000034157,16009.967499999795
52,213.96760000009272,16188.538999999872
53,271.36959999985993,16433.728899999987
54,332.4163000001572,16734.90870000003
55,362.66889999993145,17097.597899999935
56,242.11100000003353,17490.39969999995
57,242.04509999975562,17940.292700000107
58,359.28219999977955,18215.7762000002
59,181.4654999999293,18608.415299999997
60,513.0194999999367,18820.22660000017
61,151.46979999961331,19363.219200000167
62,150.95899999979883,19544.48490000004
63,332.51250000018626,19785.758799999952
64,360.4772999999077,20209.578199999876
65,241.8950000000259,20599.30949999997
66,181.44309999980032,20873.24470000016
67,392.8236000002362,21084.552399999928
68,302.52180000021326,21507.67689999985
69,301.09659999981886,21840.3955000001
70,243.7695999997668,22168.86670000013
71,152.21490000002086,22443.29259999981
72,149.45649999985108,22866.370500000197
73,211.36370000010356,23046.35990000004
74,208.65310000022873,23287.84409999987
75,183.40159999998286,23526.6381000001
76,178.910000000149,23740.08179999981
77,151.14259999990463,23950.519700000063
78,242.2015999997966,24131.855200000107
79,242.7487000003457,24403.907199999783
80,512.8174999998882,24887.21840000013
